"ZIPCODE","CITY","COUNTY","ZIP_TYPE"
"12441","Highmount","Ulster","P.O. Box"
"12442","Hunter","Greene","Standard"
"12443","Hurley","Ulster","Standard"
"12444","Jewett","Greene","Standard"
"12446","Kerhonkson","Ulster","Standard"
"12448","Lake Hill","Ulster","Standard"
"12449","Lake Katrine","Ulster","Standard"
"12450","Lanesville","Greene","Standard"
"12451","Leeds","Greene","Standard"
"12452","Lexington","Greene","P.O. Box"
"12453","Malden On Hudson","Ulster","P.O. Box"
"12454","Maplecrest","Greene","Standard"
"12455","Margaretville","Delaware","Standard"
"12456","Mount Marion","Ulster","Standard"
"12457","Mount Tremper","Ulster","Standard"
"12458","Napanoch","Ulster","Standard"
"12459","New Kingston","Delaware","P.O. Box"
"12460","Oak Hill","Greene","Standard"
"12461","Olivebridge","Ulster","Standard"
"12463","Palenville","Greene","Standard"
"12464","Phoenicia","Ulster","Standard"
"12465","Pine Hill","Ulster","Standard"
"12466","Port Ewen","Ulster","Standard"
"12468","Prattsville","Greene","Standard"
"12469","Preston Hollow","Albany","Standard"
"12470","Purling","Greene","Standard"
"12471","Rifton","Ulster","P.O. Box"
"12472","Rosendale","Ulster","Standard"
"12473","Round Top","Greene","Standard"
"12474","Roxbury","Delaware","Standard"
"12475","Ruby","Ulster","P.O. Box"
"12477","Saugerties","Ulster","Standard"
"12480","Shandaken","Ulster","Standard"
"12481","Shokan","Ulster","Standard"
"12482","South Cairo","Greene","Standard"
"12483","Spring Glen","Ulster","P.O. Box"
"501  ","Holtsville","Suffolk","Unique"
"544  ","Holtsville","Suffolk","Unique"
"6390 ","Fishers Island","Suffolk","P.O. Box"
"10001","New York","New York","Standard"
"10002","New York","New York","Standard"
"10003","New York","New York","Standard"
"10004","New York","New York","Standard"
"10005","New York","New York","Standard"
"10006","New York","New York","Standard"
"10007","New York","New York","Standard"
"10008","New York","New York","P.O. Box"
"10009","New York","New York","Standard"
"10010","New York","New York","Standard"
"10011","New York","New York","Standard"
"10012","New York","New York","Standard"
"10013","New York","New York","Standard"
"10014","New York","New York","Standard"
"10016","New York","New York","Standard"
"10017","New York","New York","Standard"
"10018","New York","New York","Standard"
"10019","New York","New York","Standard"
"10020","New York","New York","Standard"
"10021","New York","New York","Standard"
"10022","New York","New York","Standard"
"10023","New York","New York","Standard"
"10024","New York","New York","Standard"
"10025","New York","New York","Standard"
"10026","New York","New York","Standard"
"10027","New York","New York","Standard"
"10028","New York","New York","Standard"
"10029","New York","New York","Standard"
"10030","New York","New York","Standard"
"10031","New York","New York","Standard"
"10032","New York","New York","Standard"
"10033","New York","New York","Standard"
"10034","New York","New York","Standard"
"10035","New York","New York","Standard"
"10036","New York","New York","Standard"
"10037","New York","New York","Standard"
"10038","New York","New York","Standard"
"10039","New York","New York","Standard"
"10040","New York","New York","Standard"
"10041","New York","New York","Standard"
"10043","New York","New York","Unique"
"10044","New York","New York","Standard"
"10045","New York","New York","Standard"
"10055","New York","New York","Standard"
"10060","New York","New York","Standard"
"10065","New York","New York","Standard"
"10069","New York","New York","Standard"
"10075","New York","New York","Standard"
"10080","New York","New York","Unique"
"10081","New York","New York","Unique"
"10087","New York","New York","Unique"
"10090","New York","New York","Standard"
"10101","New York","New York","P.O. Box"
"10102","New York","New York","Unique"
"10103","New York","New York","Standard"
"10104","New York","New York","Standard"
"10105","New York","New York","Standard"
"10106","New York","New York","Standard"
"10107","New York","New York","Standard"
"10108","New York","New York","P.O. Box"
"10109","New York","New York","Unique"
"10110","New York","New York","Standard"
"10111","New York","New York","Standard"
"10112","New York","New York","Standard"
"10113","New York","New York","P.O. Box"
"10114","New York","New York","Unique"
"10115","New York","New York","Standard"
"10116","New York","New York","P.O. Box"
"10117","New York","New York","Unique"
"10118","New York","New York","Standard"
"10119","New York","New York","Standard"
"10120","New York","New York","Standard"
"10121","New York","New York","Standard"
"10122","New York","New York","Standard"
"10123","New York","New York","Standard"
"10124","New York","New York","Unique"
"10125","New York","New York","Unique"
"10126","New York","New York","Unique"
"10128","New York","New York","Standard"
"10129","New York","New York","P.O. Box"
"10130","New York","New York","Unique"
"10131","New York","New York","Unique"
"10132","New York","New York","Unique"
"10133","New York","New York","Unique"
"10138","New York","New York","Unique"
"10150","New York","New York","P.O. Box"
"10151","New York","New York","Standard"
"10152","New York","New York","Standard"
"10153","New York","New York","Standard"
"10154","New York","New York","Standard"
"10155","New York","New York","Standard"
"10156","New York","New York","P.O. Box"
"10157","New York","New York","Unique"
"10158","New York","New York","Standard"
"10159","New York","New York","P.O. Box"
"10160","New York","New York","Unique"
"10162","New York","New York","Standard"
"10163","New York","New York","P.O. Box"
"10164","New York","New York","Unique"
"10165","New York","New York","Standard"
"10166","New York","New York","Standard"
"10167","New York","New York","Standard"
"10168","New York","New York","Standard"
"10169","New York","New York","Standard"
"10170","New York","New York","Standard"
"10171","New York","New York","Standard"
"10172","New York","New York","Standard"
"10173","New York","New York","Standard"
"10174","New York","New York","Standard"
"10175","New York","New York","Standard"
"10176","New York","New York","Standard"
"10177","New York","New York","Standard"
"10178","New York","New York","Standard"
"10179","New York","New York","Unique"
"10185","New York","New York","P.O. Box"
"10199","New York","New York","Standard"
"10203","New York","New York","Unique"
"10211","New York","New York","Unique"
"10212","New York","New York","Unique"
"10213","New York","New York","Unique"
"10242","New York","New York","P.O. Box"
"10249","New York","New York","P.O. Box"
"10256","New York","New York","Unique"
"10258","New York","New York","Unique"
"10259","New York","New York","Unique"
"10260","New York","New York","Standard"
"10261","New York","New York","Unique"
"10265","New York","New York","Standard"
"10268","New York","New York","P.O. Box"
"10269","New York","New York","Unique"
"10270","New York","New York","Standard"
"10271","New York","New York","Standard"
"10272","New York","New York","P.O. Box"
"10273","New York","New York","Unique"
"10274","New York","New York","P.O. Box"
"10275","New York","New York","Unique"
"10276","New York","New York","P.O. Box"
"10277","New York","New York","Unique"
"10278","New York","New York","Standard"
"10279","New York","New York","Standard"
"10280","New York","New York","Standard"
"10281","New York","New York","Standard"
"10282","New York","New York","Standard"
"10285","New York","New York","Unique"
"10286","New York","New York","Unique"
"10301","Staten Island","Richmond","Standard"
"10302","Staten Island","Richmond","Standard"
"10303","Staten Island","Richmond","Standard"
"10304","Staten Island","Richmond","Standard"
"10305","Staten Island","Richmond","Standard"
"10306","Staten Island","Richmond","Standard"
"10307","Staten Island","Richmond","Standard"
"10308","Staten Island","Richmond","Standard"
"10309","Staten Island","Richmond","Standard"
"10310","Staten Island","Richmond","Standard"
"10311","Staten Island","Richmond","Standard"
"10312","Staten Island","Richmond","Standard"
"10313","Staten Island","Richmond","P.O. Box"
"10314","Staten Island","Richmond","Standard"
"10451","Bronx","Bronx","Standard"
"10452","Bronx","Bronx","Standard"
"10453","Bronx","Bronx","Standard"
"10454","Bronx","Bronx","Standard"
"10455","Bronx","Bronx","Standard"
"10456","Bronx","Bronx","Standard"
"10457","Bronx","Bronx","Standard"
"10458","Bronx","Bronx","Standard"
"10459","Bronx","Bronx","Standard"
"10460","Bronx","Bronx","Standard"
"10461","Bronx","Bronx","Standard"
"10462","Bronx","Bronx","Standard"
"10463","Bronx","Bronx","Standard"
"10464","Bronx","Bronx","Standard"
"10465","Bronx","Bronx","Standard"
"10466","Bronx","Bronx","Standard"
"10467","Bronx","Bronx","Standard"
"10468","Bronx","Bronx","Standard"
"10469","Bronx","Bronx","Standard"
"10470","Bronx","Bronx","Standard"
"10471","Bronx","Bronx","Standard"
"10472","Bronx","Bronx","Standard"
"10473","Bronx","Bronx","Standard"
"10474","Bronx","Bronx","Standard"
"10475","Bronx","Bronx","Standard"
"10501","Amawalk","Westchester","Standard"
"10502","Ardsley","Westchester","Standard"
"10503","Ardsley On Hudson","Westchester","P.O. Box"
"10504","Armonk","Westchester","Standard"
"10505","Baldwin Place","Westchester","Standard"
"10506","Bedford","Westchester","Standard"
"10507","Bedford Hills","Westchester","Standard"
"10509","Brewster","Putnam","Standard"
"10510","Briarcliff Manor","Westchester","Standard"
"10511","Buchanan","Westchester","Standard"
"10512","Carmel","Putnam","Standard"
"10514","Chappaqua","Westchester","Standard"
"10516","Cold Spring","Putnam","Standard"
"10517","Crompond","Westchester","P.O. Box"
"10518","Cross River","Westchester","Standard"
"10519","Croton Falls","Westchester","P.O. Box"
"10520","Croton On Hudson","Westchester","Standard"
"10521","Croton On Hudson","Westchester","P.O. Box"
"10522","Dobbs Ferry","Westchester","Standard"
"10523","Elmsford","Westchester","Standard"
"10524","Garrison","Putnam","Standard"
"10526","Goldens Bridge","Westchester","Standard"
"10527","Granite Springs","Westchester","Standard"
"10528","Harrison","Westchester","Standard"
"10530","Hartsdale","Westchester","Standard"
"10532","Hawthorne","Westchester","Standard"
"10533","Irvington","Westchester","Standard"
"10535","Jefferson Valley","Westchester","Standard"
"10536","Katonah","Westchester","Standard"
"10537","Lake Peekskill","Putnam","Standard"
"10538","Larchmont","Westchester","Standard"
"10540","Lincolndale","Westchester","P.O. Box"
"10541","Mahopac","Putnam","Standard"
"10542","Mahopac Falls","Putnam","P.O. Box"
"10543","Mamaroneck","Westchester","Standard"
"10545","Maryknoll","Westchester","P.O. Box"
"10546","Millwood","Westchester","Standard"
"10547","Mohegan Lake","Westchester","Standard"
"10548","Montrose","Westchester","Standard"
"10549","Mount Kisco","Westchester","Standard"
"10550","Mount Vernon","Westchester","Standard"
"10551","Mount Vernon","Westchester","P.O. Box"
"10552","Mount Vernon","Westchester","Standard"
"10553","Mount Vernon","Westchester","Standard"
"10560","North Salem","Westchester","Standard"
"10562","Ossining","Westchester","Standard"
"10566","Peekskill","Westchester","Standard"
"10567","Cortlandt Manor","Westchester","Standard"
"10570","Pleasantville","Westchester","Standard"
"10573","Port Chester","Westchester","Standard"
"10576","Pound Ridge","Westchester","Standard"
"10577","Purchase","Westchester","Standard"
"10578","Purdys","Westchester","Standard"
"10579","Putnam Valley","Putnam","Standard"
"10580","Rye","Westchester","Standard"
"10583","Scarsdale","Westchester","Standard"
"10587","Shenorock","Westchester","P.O. Box"
"10588","Shrub Oak","Westchester","Standard"
"10589","Somers","Westchester","Standard"
"10590","South Salem","Westchester","Standard"
"10591","Tarrytown","Westchester","Standard"
"10594","Thornwood","Westchester","Standard"
"10595","Valhalla","Westchester","Standard"
"10596","Verplanck","Westchester","P.O. Box"
"10597","Waccabuc","Westchester","Standard"
"10598","Yorktown Heights","Westchester","Standard"
"10601","White Plains","Westchester","Standard"
"10602","White Plains","Westchester","P.O. Box"
"10603","White Plains","Westchester","Standard"
"10604","West Harrison","Westchester","Standard"
"10605","White Plains","Westchester","Standard"
"10606","White Plains","Westchester","Standard"
"10607","White Plains","Westchester","Standard"
"10610","White Plains","Westchester","P.O. Box"
"10701","Yonkers","Westchester","Standard"
"10702","Yonkers","Westchester","P.O. Box"
"10703","Yonkers","Westchester","Standard"
"10704","Yonkers","Westchester","Standard"
"10705","Yonkers","Westchester","Standard"
"10706","Hastings On Hudson","Westchester","Standard"
"10707","Tuckahoe","Westchester","Standard"
"10708","Bronxville","Westchester","Standard"
"10709","Eastchester","Westchester","Standard"
"10710","Yonkers","Westchester","Standard"
"10801","New Rochelle","Westchester","Standard"
"10802","New Rochelle","Westchester","P.O. Box"
"10803","Pelham","Westchester","Standard"
"10804","New Rochelle","Westchester","Standard"
"10805","New Rochelle","Westchester","Standard"
"10901","Suffern","Rockland","Standard"
"10910","Arden","Orange","P.O. Box"
"10911","Bear Mountain","Rockland","Standard"
"10912","Bellvale","Orange","P.O. Box"
"10913","Blauvelt","Rockland","Standard"
"10914","Blooming Grove","Orange","P.O. Box"
"10915","Bullville","Orange","P.O. Box"
"10916","Campbell Hall","Orange","Standard"
"10917","Central Valley","Orange","Standard"
"10918","Chester","Orange","Standard"
"10919","Circleville","Orange","Standard"
"10920","Congers","Rockland","Standard"
"10921","Florida","Orange","Standard"
"10922","Fort Montgomery","Orange","P.O. Box"
"10923","Garnerville","Rockland","Standard"
"10924","Goshen","Orange","Standard"
"10925","Greenwood Lake","Orange","Standard"
"10926","Harriman","Orange","Standard"
"10927","Haverstraw","Rockland","Standard"
"10928","Highland Falls","Orange","Standard"
"10930","Highland Mills","Orange","Standard"
"10931","Hillburn","Rockland","Standard"
"10932","Howells","Orange","P.O. Box"
"10933","Johnson","Orange","P.O. Box"
"10940","Middletown","Orange","Standard"
"10941","Middletown","Orange","Standard"
"10949","Monroe","Orange","P.O. Box"
"10950","Monroe","Orange","Standard"
"10952","Monsey","Rockland","Standard"
"10953","Mountainville","Orange","P.O. Box"
"10954","Nanuet","Rockland","Standard"
"10956","New City","Rockland","Standard"
"10958","New Hampton","Orange","Standard"
"10959","New Milford","Orange","P.O. Box"
"10960","Grandview On Hudson","Rockland","Standard"
"10960","Nyack","Rockland","Standard"
"10962","Orangeburg","Rockland","Standard"
"10963","Otisville","Orange","Standard"
"10964","Palisades","Rockland","Standard"
"10965","Pearl River","Rockland","Standard"
"10968","Piermont","Rockland","Standard"
"10969","Pine Island","Orange","Standard"
"10970","Pomona","Rockland","Standard"
"10973","Slate Hill","Orange","Standard"
"10974","Sloatsburg","Rockland","Standard"
"10975","Southfields","Orange","Standard"
"10976","Sparkill","Rockland","Standard"
"10977","Spring Valley","Rockland","Standard"
"10979","Sterling Forest","Orange","P.O. Box"
"10980","Stony Point","Rockland","Standard"
"10981","Sugar Loaf","Orange","P.O. Box"
"10982","Tallman","Rockland","P.O. Box"
"10983","Tappan","Rockland","Standard"
"10984","Thiells","Rockland","Standard"
"10985","Thompson Ridge","Orange","Standard"
"10986","Tomkins Cove","Rockland","Standard"
"10987","Tuxedo Park","Orange","Standard"
"10988","Unionville","Orange","P.O. Box"
"10989","Valley Cottage","Rockland","Standard"
"10990","Warwick","Orange","Standard"
